x_0	f(x)
$flags auto[subscript]:8	auto[subscript]:8
5.83002362e-01	2.09580275e-01
5.83978862e-01	2.12083008e-01
5.84955363e-01	2.14587071e-01
5.85931863e-01	2.17092480e-01
5.86908363e-01	2.19599253e-01
5.87884864e-01	2.22107406e-01
5.88861364e-01	2.24616957e-01
5.89837864e-01	2.27127924e-01
5.90814365e-01	2.29640323e-01
5.91790865e-01	2.32154173e-01
5.92767365e-01	2.34669491e-01
5.93743866e-01	2.37186294e-01
5.94720366e-01	2.39704601e-01
5.95696866e-01	2.42224428e-01
5.96673367e-01	2.44745795e-01
5.97649867e-01	2.47268719e-01
5.98626367e-01	2.49793217e-01
5.99602868e-01	2.52319309e-01
6.00579368e-01	2.54847011e-01
6.01555868e-01	2.57376343e-01
6.02532369e-01	2.59907323e-01
6.03508869e-01	2.62439968e-01
6.04485369e-01	2.64974298e-01
6.05461870e-01	2.67510331e-01
6.06438370e-01	2.70048086e-01
6.07414870e-01	2.72587581e-01
6.08391370e-01	2.75128835e-01
6.09367871e-01	2.77671868e-01
6.10344371e-01	2.80216697e-01
6.11320871e-01	2.82763342e-01
6.12297372e-01	2.85311823e-01
6.13273872e-01	2.87862157e-01
6.14250372e-01	2.90414366e-01
6.15226873e-01	2.92968468e-01
6.16203373e-01	2.95524482e-01
6.17179873e-01	2.98082428e-01
6.18156374e-01	3.00642326e-01
6.19132874e-01	3.03204196e-01
6.20109374e-01	3.05768058e-01
6.21085875e-01	3.08333931e-01
6.22062375e-01	3.10901835e-01
6.23038875e-01	3.13471792e-01
6.24015376e-01	3.16043820e-01
6.24991876e-01	3.18617941e-01
6.25968376e-01	3.21194174e-01
6.26944877e-01	3.23772542e-01
6.27921377e-01	3.26353063e-01
6.28897877e-01	3.28935760e-01
6.29874378e-01	3.31520652e-01
6.30850878e-01	3.34107762e-01
6.31827378e-01	3.36697109e-01
6.32803879e-01	3.39288716e-01
6.33780379e-01	3.41882604e-01
6.34756879e-01	3.44478795e-01
6.35733380e-01	3.47077309e-01
6.36709880e-01	3.49678169e-01
6.37686380e-01	3.52281396e-01
6.38662881e-01	3.54887013e-01
6.39639381e-01	3.57495042e-01
6.40615881e-01	3.60105504e-01
6.41592381e-01	3.62718423e-01
6.42568882e-01	3.65333820e-01
6.43545382e-01	3.67951719e-01
6.44521882e-01	3.70572142e-01
6.45498383e-01	3.73195112e-01
6.46474883e-01	3.75820653e-01
6.47451383e-01	3.78448786e-01
6.48427884e-01	3.81079536e-01
6.49404384e-01	3.83712926e-01
6.50380884e-01	3.86348980e-01
6.51357385e-01	3.88987721e-01
6.52333885e-01	3.91629173e-01
6.53310385e-01	3.94273361e-01
6.54286886e-01	3.96920308e-01
6.55263386e-01	3.99570039e-01
6.56239886e-01	4.02222579e-01
6.57216387e-01	4.04877952e-01
6.58192887e-01	4.07536182e-01
6.59169387e-01	4.10197295e-01
6.60145888e-01	4.12861317e-01
6.61122388e-01	4.15528271e-01
6.62098888e-01	4.18198185e-01
6.63075389e-01	4.20871083e-01
6.64051889e-01	4.23546991e-01
6.65028389e-01	4.26225935e-01
6.66004890e-01	4.28907942e-01
6.66981390e-01	4.31593037e-01
6.67957890e-01	4.34281248e-01
6.68934391e-01	4.36972601e-01
6.69910891e-01	4.39667123e-01
6.70887391e-01	4.42364840e-01
6.71863891e-01	4.45065781e-01
6.72840392e-01	4.47769973e-01
6.73816892e-01	4.50477443e-01
6.74793392e-01	4.53188219e-01
6.75769893e-01	4.55902330e-01
6.76746393e-01	4.58619803e-01
6.77722893e-01	4.61340667e-01
6.78699394e-01	4.64064950e-01
